timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1522235598030457,33,-12,3,2,9,-6,-2,20
1522235598030457,57,2,1,5,-19,-27,-24,3
1522235598031460,12,-17,2,2,0,-11,26,8
1522235598031460,48,55,7,3,5,-5,-18,5
1522235598035470,-102,-49,-1,-2,4,-5,1,-19
1522235598035470,100,24,-1,-18,-5,16,-8,19
1522235598039481,28,3,-6,-16,15,-5,-3,-23
1522235598039481,-25,-56,7,-28,3,28,14,-13
1522235598041486,34,-20,-8,-22,-7,-14,-5,-3
1522235598041486,-46,-12,-2,0,12,12,0,-15
1522235598052515,-4,-8,1,14,-2,-8,9,13
1522235598052515,37,57,0,14,-4,9,-9,16
1522235598063545,25,27,3,12,0,-9,3,-6
1522235598063545,4,0,-10,6,-14,8,16,21
1522235598072574,10,25,0,5,3,23,-8,-4
1522235598072574,-96,-91,-13,11,-1,-20,-1,-15
1522235598080590,91,16,-4,-2,-9,21,20,2
1522235598080590,32,20,0,8,8,-39,-17,-4
1522235598101646,-11,33,5,3,-12,-18,-6,17
1522235598101646,2,28,10,11,1,36,0,4
1522235598102649,-42,-18,-4,3,-4,4,-14,-2
1522235598102649,-17,-28,-7,16,7,14,11,1
1522235598156793,9,-34,9,-6,1,0,3,-11
1522235598156793,-14,-80,5,-3,-13,8,7,6
1522235598157795,34,61,0,-18,27,16,-4,-5
1522235598157795,16,20,-6,-8,19,-22,0,-2
1522235598158798,-68,32,15,-16,-27,0,3,10
1522235598158798,18,-15,-8,-8,11,-2,8,-4
1522235598161806,19,15,-16,-15,-21,-46,-6,-17
1522235598161806,28,32,8,3,8,51,-15,-5
1522235598163811,-89,-91,-12,-1,-3,-8,-5,-9
1522235598163811,18,12,2,-114,5,5,7,0
1522235598168824,-1,8,-11,-120,-21,-23,-20,5
1522235598168824,-62,-9,2,-60,2,21,20,-8
1522235598175843,125,18,5,-24,8,3,-31,24
1522235598175843,-80,-23,-12,32,-38,4,19,-2
1522235598191886,7,-50,5,83,47,19,20,6
1522235598191886,-20,-80,-2,47,9,1,-20,-3
1522235598197902,-64,26,9,57,-4,-14,13,7
1522235598197902,127,53,2,20,-3,18,-12,15
1522235598212941,-51,16,5,7,-25,-5,-7,4
1522235598212941,-14,-37,2,32,2,-41,-7,-11
1522235598221966,-7,27,1,55,21,19,36,-6
1522235598221966,-31,52,-8,31,-15,-6,-45,-10
1522235598237006,11,24,3,51,-11,-19,-25,2
1522235598237006,-1,-27,0,41,36,78,13,-1
1522235598243022,5,-10,-8,1,-31,-71,-9,-13
1522235598243022,-47,9,2,33,21,0,28,9
1522235598260067,57,21,4,16,-15,15,-2,2
1522235598260067,28,127,-7,-19,-21,-27,-8,5
1522235598261070,-7,-24,-4,-13,8,50,7,-14
1522235598261070,14,-25,18,27,28,-8,-8,-3
1522235598282125,-62,-12,-10,-13,-5,3,0,-4
1522235598282125,14,30,18,17,-17,-17,-4,24
1522235598284131,64,24,-9,-11,-10,12,1,-6
1522235598284131,-35,-10,-4,4,15,-8,-8,-23
1522235598296163,-44,-27,8,-17,6,39,2,3
1522235598296163,-15,-23,7,-13,-29,-56,3,18
1522235598305187,26,9,1,1,2,12,-8,-4
1522235598305187,2,17,-12,-16,-8,10,-17,-2
1522235598320227,-36,32,4,20,19,-6,27,-10
1522235598320227,26,-5,-10,-10,-21,1,-20,-9
1522235598321230,-45,-32,-5,4,9,7,-16,-5
1522235598321230,-21,6,-7,-5,-5,-30,-7,-2
1522235598342285,33,-41,-13,5,6,12,6,0
1522235598342285,-128,-64,10,-2,-13,-9,10,-5
1522235598344291,83,43,-1,-13,3,-22,-7,-11
1522235598344291,-27,-15,4,-4,-3,4,25,15
1522235598364344,12,-18,4,-7,-1,-10,-19,-2
1522235598364344,-47,-16,-8,0,-3,-4,5,-18
1522235598366350,-22,-64,-15,1,5,2,-2,2
1522235598366350,69,74,-4,5,0,14,9,8
1522235598379384,-27,-24,-3,13,-4,-29,-1,-9
1522235598379384,33,6,11,14,7,-1,-7,-4
1522235598381390,-27,17,2,10,3,7,7,7
1522235598381390,31,14,-5,13,-11,-18,-18,-2
1522235598402445,52,23,-7,12,-3,26,19,21
1522235598402445,1,27,-8,6,1,3,-4,-5
1522235598403448,-49,-7,7,6,-1,-2,-9,-3
1522235598403448,-64,-128,-22,-7,2,-1,23,-13
1522235598415480,-3,28,5,-4,-8,5,4,1
1522235598415480,73,29,-2,-7,1,6,0,-10
1522235598424504,-19,8,4,-3,7,4,1,-26
1522235598424504,-18,34,4,-9,0,14,13,-2
1522235598439544,-11,-19,2,-9,9,-7,-23,-4
1522235598439544,-72,-48,-4,-12,-17,2,3,9
1522235598441549,116,49,2,-8,-1,-5,2,13
1522235598441549,90,109,18,1,1,-1,-11,3
1522235598462605,-99,-104,-27,-15,-4,2,-13,-3
1522235598462605,-5,18,-4,-14,11,-9,-16,-18
1522235598463608,28,38,-7,-29,-4,28,5,27
1522235598463608,-98,-8,10,-7,-7,-11,5,3
1522235598475640,50,29,-2,-19,-19,-10,-9,-5
1522235598475640,31,-10,-13,-18,-6,1,1,9
1522235598484664,-58,-27,1,-3,-37,-42,-19,-4
1522235598484664,-29,11,14,19,31,32,16,0
1522235598499704,-15,1,-5,9,9,-11,4,6
1522235598499704,-61,-70,-4,-5,20,17,0,-10
1522235598501709,80,19,0,11,22,30,11,15
1522235598501709,48,40,-14,-4,-47,-43,-16,-8
