timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1576748134143099,0,-5,0,-4,-5,4,1,-8
1576748134143099,0,-2,-2,-1,-5,-2,4,-2
1576748134144098,-9,-1,0,1,-2,-7,-7,-9
1576748134144098,0,2,3,1,1,-2,-3,3
1576748134145090,2,1,2,-3,-1,2,-2,10
1576748134145090,-4,-4,-3,-1,2,-2,-3,6
1576748134147180,3,-4,-1,-4,3,6,0,6
1576748134147180,1,0,0,-3,3,6,1,-3
1576748134156096,4,-1,0,1,3,5,3,12
1576748134156096,6,1,-4,3,-6,2,-2,0
1576748134163049,-2,3,-6,4,-8,-9,-4,-5
1576748134163049,-4,-2,-2,0,0,-7,0,-4
1576748134171028,-1,-2,0,0,4,-8,1,-2
1576748134171028,1,-4,0,-2,5,-4,-3,-2
1576748134185033,-5,1,0,1,4,0,4,3
1576748134185033,0,-1,0,-3,-2,9,-1,-3
1576748134195959,0,-2,-1,2,-8,4,-1,2
1576748134195959,2,-5,-3,1,-2,-2,-6,-8
1576748134207932,2,-1,0,1,-7,-3,2,3
1576748134207932,-3,6,1,-1,-2,8,4,-1
1576748134215915,-7,2,0,-1,1,1,0,-6
1576748134215915,2,3,1,-4,-2,2,-9,11
1576748134229885,3,-5,-2,-8,-2,0,4,-6
1576748134229885,0,-4,-2,-4,2,-7,4,-4
1576748134270811,-1,3,-2,1,-2,-4,-5,-1
1576748134270811,-6,-5,-1,-4,-4,-7,-8,-7
1576748134271760,-2,-4,0,-1,-2,-5,-7,-4
1576748134271760,4,0,-2,0,-2,-2,-2,2
1576748134271760,5,-1,0,0,-4,-3,-2,-2
1576748134271760,7,2,-1,6,2,4,2,-2
1576748134274788,-2,2,-1,2,-3,4,2,-5
1576748134274788,-5,-2,-4,-3,-1,-3,0,5
1576748134281827,2,-1,-2,-5,8,5,-2,-7
1576748134281827,-4,0,0,-4,2,5,-1,-3
1576748134289709,-5,-3,2,2,8,0,4,4
1576748134289709,6,2,-1,-2,-3,3,4,17
1576748134296789,-2,-3,1,0,-4,2,3,4
1576748134296789,-4,-2,1,-1,-4,-2,2,-1
1576748134312681,-2,-4,-1,-5,1,-4,-5,-6
1576748134312681,-3,2,-2,2,-1,-6,-4,-9
1576748134319725,-3,3,-5,5,-1,0,-1,-1
1576748134319725,-3,2,-1,1,-1,-4,-1,-8
1576748134343670,2,5,1,-1,1,-2,4,5
1576748134343670,-3,-4,-2,-1,3,-8,-6,-13
1576748134344569,-7,-1,-3,2,-8,-5,-1,-9
1576748134344569,2,1,-3,3,-8,0,-1,4
1576748134357624,2,-5,-1,-1,-1,3,0,1
1576748134357624,0,-9,-2,-1,1,-6,-5,-7
1576748134364605,-1,-4,-2,0,6,-2,1,1
1576748134364605,-3,-4,-1,-6,5,2,3,-5
1576748134380563,-3,-2,0,-4,0,7,0,1
1576748134380563,3,-2,4,0,-9,3,2,4
1576748134382510,2,2,-2,-2,-7,-2,1,3
1576748134382510,-7,-6,-4,-4,-8,-9,-2,0
1576748134403503,-6,-3,-5,-2,-7,-8,-5,-8
1576748134403503,-3,2,-3,-2,2,-1,-1,2
1576748134404453,2,3,2,0,0,0,0,-5
1576748134404453,5,1,3,2,6,7,2,-2
1576748134417465,0,2,2,4,-2,5,-2,-5
1576748134417465,-4,3,-1,-1,2,6,-3,2
1576748134424390,0,2,0,1,-1,3,-4,1
1576748134424390,2,1,1,1,0,-2,0,1
1576748134441301,2,-12,-3,-1,0,0,1,-3
1576748134441301,6,-2,-3,-1,1,-2,0,-1
1576748134442306,-3,0,-3,-1,1,-8,4,-3
1576748134442306,-2,0,0,2,0,-6,-1,-5
1576748134463295,-1,4,-2,3,0,-6,-1,1
1576748134463295,-1,0,0,0,-1,0,2,-2
1576748134465272,-4,-1,0,-3,-1,2,1,0
1576748134465272,-2,-1,1,-3,-7,-2,-4,3
1576748134478203,-2,0,2,-4,-2,4,-4,-4
1576748134478203,1,5,1,-6,-2,-1,-1,-16
1576748134484285,1,0,0,-1,-2,-4,3,13
1576748134484285,4,0,-1,4,1,-1,0,2
1576748134501191,3,3,-4,-1,3,3,-3,0
1576748134501191,4,0,0,5,1,7,1,11
1576748134502139,1,-5,0,1,3,0,0,1
1576748134502139,-5,-1,-4,-1,-5,-1,-3,-9
1576748134523088,-4,-5,0,-1,-5,0,-7,2
1576748134523088,1,2,1,0,4,1,-7,-5
1576748134525083,-1,0,-1,-2,-4,-5,-16,-27
1576748134525083,-3,-1,3,3,4,-6,1,4
1576748134538087,0,4,-1,-2,3,-4,5,-4
1576748134538087,4,2,-3,-2,8,-1,-1,7
1576748134544126,-7,-3,-2,-3,-3,-1,-1,-6
1576748134544126,-9,0,-2,-8,-1,-4,-10,-20
1576748134561080,-5,0,-1,0,-4,-4,-2,-26
1576748134561080,-8,-5,-3,1,-13,-7,2,-9
1576748134561988,11,-2,-2,3,-4,-4,0,7
1576748134561988,2,-9,-4,-4,-2,-7,-11,-3
1576748134583016,-2,2,3,-1,5,-5,0,5
1576748134583016,-7,-3,-3,-2,1,-5,-3,-1
1576748134584953,1,3,-6,0,1,1,-4,-6
1576748134584953,-2,-2,-3,-3,-2,3,2,-9
1576748134597935,0,2,1,3,-2,2,1,3
1576748134597935,0,3,2,1,-1,-3,5,0
1576748134604908,-1,-2,1,-5,1,0,11,22
1576748134604908,-3,5,3,3,-5,0,7,3
1576748134620919,4,-3,-1,3,-3,-4,-9,1
1576748134620919,0,-2,0,2,-4,2,-3,-7
1576748134622816,-1,0,-1,-1,3,0,-8,8
1576748134622816,8,4,3,-1,14,15,1,24
1576748134643758,-8,1,-2,-2,4,5,0,3
1576748134643758,-8,-5,-4,1,0,0,-5,-9
1576748134644763,0,-4,1,-2,0,5,-7,0
1576748134644763,2,3,0,0,-2,-2,2,4
1576748134656766,1,-3,-2,-3,-7,-7,2,1
1576748134656766,6,0,1,-1,-1,-4,2,8
1576748134665700,6,1,-1,2,0,-1,7,-4
1576748134665700,2,-4,-2,3,0,-3,-4,-2
1576748134680662,-1,0,-1,-4,1,-11,-2,3
1576748134680662,-8,5,0,1,-4,-3,5,2
1576748134682664,-1,-2,0,-2,-1,0,8,-3
1576748134682664,3,0,-2,-6,-1,1,3,2
1576748134703600,1,-2,-3,-1,0,-2,-2,2
1576748134703600,2,-4,-3,-1,-1,5,-5,7
1576748134704606,-5,3,2,-4,-5,-2,-6,-6
1576748134704606,-3,0,0,-1,-4,-1,-2,2
1576748134716606,-7,0,-1,-2,-3,1,0,-1
1576748134716606,-1,2,-2,-6,-7,-1,-3,-10
1576748134725543,-5,3,0,5,-3,5,-11,-1
1576748134725543,-1,-2,-4,1,3,2,1,-9
1576748134740504,4,-3,-3,1,1,-2,4,0
1576748134740504,-4,-3,-3,0,0,-7,2,-5
1576748134742503,-5,-2,0,0,1,-8,-8,-17
1576748134742503,3,-3,0,1,-6,-9,3,5
1576748134763438,4,4,-1,1,-4,-2,-2,-21
1576748134763438,8,-1,2,-2,7,4,-1,-1
1576748134764437,3,-3,-1,0,1,3,1,-7
1576748134764437,3,3,2,0,1,7,-7,6
1576748134777401,-3,-2,-2,-5,0,-1,1,-5
1576748134777401,-1,0,-4,-5,1,-6,-3,7
1576748134785447,-2,-2,-1,-2,-3,-1,1,9
1576748134785447,-3,-2,-3,-2,-6,-7,0,-6
1576748134800373,5,-1,0,3,-4,2,-1,5
1576748134800373,-3,2,-1,0,-1,2,-5,1
1576748134802332,-1,-1,-1,2,7,1,4,14
1576748134802332,-4,-3,-4,2,0,4,2,6
1576748134823279,-5,-2,0,-3,-1,3,-3,2
1576748134823279,-2,0,5,-1,1,12,4,1
1576748134825272,-2,-1,0,-6,-6,0,3,-7
1576748134825272,-3,0,0,-3,3,2,1,-6
1576748134837276,-3,1,2,1,-1,1,0,4
1576748134837276,5,-1,-3,-2,-2,-8,-6,0
1576748134846215,4,-3,-2,1,0,0,-1,7
1576748134846215,-5,-3,-4,-2,3,-7,-1,-5
1576748134861225,6,1,-4,-1,0,-5,-2,11
1576748134861225,0,2,1,1,0,-8,2,1
1576748134862177,-6,-5,-1,0,2,-2,4,-4
1576748134862177,4,-4,1,0,-1,-4,0,-1
1576748134883162,-5,-4,1,-3,3,2,-6,-10
1576748134883162,-2,-4,-2,-2,-2,-7,-7,0
1576748134885116,-5,0,-2,0,0,-8,-3,-5
1576748134885116,-2,2,-2,2,-1,5,-3,-4
1576748134897115,-1,0,-4,-1,-7,1,6,-5
1576748134897115,5,-1,-2,0,-3,5,5,-3
1576748134906057,-2,0,-3,-3,-8,-5,4,4
1576748134906057,-1,-2,-2,-3,-4,-10,4,0
1576748134921067,4,-5,2,0,6,-1,0,2
1576748134921067,3,-4,-2,0,1,2,5,4
1576748134922013,5,-3,-3,1,-3,4,-5,2
1576748134922013,0,3,-1,1,-2,2,1,-6
1576748134943004,-4,2,-2,0,-1,0,0,7
1576748134943004,-3,1,-2,-3,4,4,0,0
1576748134944956,3,4,-4,-1,-7,-4,1,4
1576748134944956,-3,0,-2,-3,-4,-4,-5,0
1576748134956951,1,0,-3,-2,-4,0,-2,-4
1576748134956951,2,-1,4,2,-1,-2,2,18
1576748134965898,-4,-1,5,0,7,-4,-6,0
1576748134965898,-7,1,3,4,10,-9,0,4
1576748134980900,1,5,0,-1,3,-2,1,3
